,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,69,31,0.379999996,0.075414781,15.20987654,0.556818182,6.30667789,15.20987654,686,1232,2.805785124,2,7.440746753
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60,36,0.249999997,0.101372756,11.7972973,0.451317297,4.899445838,11.7972973,394,868,2.53201397,7,6.753456221
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,68,37,0.295238092,0.089361702,12.38202247,0.564428312,5.178580314,12.38202247,622,1097,2.786825252,3,7.437556974
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,66,22,0.499999994,0.09025641,11.28735632,0.443991853,4.69253927,11.28735632,436,977,2.58238342,18,6.710337769
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,60,23,0.445783127,0.072489083,12.70588235,0.462037037,5.267167756,12.70588235,499,1072,2.588740458,13,6.952425373
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,47,22,0.362318835,0.081367924,13.22033898,0.474358974,5.477879183,13.22033898,370,775,2.575875486,19,7.016774194
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,29,12,0.414634136,0.070567986,10.54,0.480075901,4.408030361,10.54,253,523,2.604651163,8,7.06500956
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,40,13,0.509433953,0.098880597,12.725,0.445972495,5.268388998,12.725,227,508,2.464,3,6.748031496
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,69,39,0.277777775,0.080118694,14.43333333,0.484988453,5.967328714,14.43333333,630,1293,2.657008614,10,6.878576953
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,49,61,-0.109090908,0.078909613,11.53846154,0.465,4.801384615,11.53846154,558,1193,2.518456376,2,6.913663034
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,39,20,0.322033893,0.071515151,13.3220339,0.553435115,5.550187605,13.3220339,435,783,2.835249042,9,7.570881226
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,28,0.081967212,0.066959385,11.05194805,0.454759107,4.602682864,11.05194805,387,850,2.599756691,7,6.721176471
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,61,23,0.452380947,0.093023256,11.7375,0.482428115,4.887971246,11.7375,453,936,2.62943072,33,6.988247863
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,67,21,0.522727267,0.08477842,11.50588235,0.490797546,4.79867196,11.50588235,480,975,2.706986444,12,7.100512821
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,0.999999964,0.061538461,16.07692308,0.552631579,6.651821862,16.07692308,231,418,2.871980676,1,7.511961722
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,83,39,0.360655735,0.130620985,87.66666667,0.447718631,35.24575412,87.66666667,471,1052,2.510679612,16,6.634030418
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,20,0,0.99999995,0.035971223,10.67346939,0.544933078,4.487360986,10.67346939,285,521,2.762088975,1,7.389635317
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,6,0.478260849,0.040421793,11.53333333,0.564547206,4.839152216,11.53333333,293,519,2.821568627,1,7.778420039
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,3,0,0.026086956,20.36363636,0.540178571,8.361525974,20.36363636,121,224,2.832579186,3,7.633928571
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,27,69,-0.437499995,0.101265823,14.32258065,0.510135135,5.933086312,14.32258065,453,883,2.620689655,3,7.033975085
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,20,15,0.142857139,0.0625,14.41666667,0.470134875,5.954720617,14.41666667,244,519,2.639442231,4,6.938342967
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,58,38,0.208333331,0.083188908,11.37894737,0.460684551,4.735852768,11.37894737,498,1076,2.600749766,10,6.947026022
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,42,3,0.866666647,0.087890625,9.857142857,0.538302277,4.158178054,9.857142857,260,483,2.72,5,7.31884058
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,8,1,0.777777691,0.025069638,16.28571429,0.453216374,6.695572264,16.28571429,155,342,2.646017699,1,6.941520468
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,25,7,0.562499982,0.053333333,14.56410256,0.477112676,6.016486096,14.56410256,271,566,2.558558559,5,6.779151943
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,16,8,0.333333319,0.054421769,15.72,0.498727735,6.487491094,15.72,196,392,2.841968912,2,7.31377551
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,18,8,0.38461537,0.079268292,9.65625,0.524271845,4.072208738,9.65625,162,306,2.866449511,1,7.562091503
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,8,0,0.999999875,0.034632034,14.71428571,0.558252427,6.109015257,14.71428571,115,206,2.941176471,3,7.830097087
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,26,37,-0.174603172,0.10623946,9.220338983,0.415441176,3.854312064,9.220338983,226,537,2.500924214,14,6.69273743
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,11,2,0.692307639,0.056034483,15.64285714,0.511415525,6.461709067,15.64285714,112,218,2.768518519,2,7.28440367
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,36,10,0.565217379,0.081705151,11.77272727,0.581081081,4.941523342,11.77272727,301,518,2.933202358,1,7.642857143
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,4,7,-0.272727248,0.052631579,16.25,0.507692308,6.703076923,16.25,99,193,2.77486911,5,7.373056995
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,12,25,-0.351351342,0.120915032,12.75,0.467320261,5.286928105,12.75,143,297,2.656765677,6,7.158249158
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,29,46,-0.226666664,0.063291139,13.84615385,0.535185185,5.752535613,13.84615385,578,1079,2.803538175,17,7.531047266
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,44,23,0.313432831,0.067067067,13.52,0.42504931,5.578019724,13.52,431,1006,2.541033435,19,6.697813121
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,36,26,0.16129032,0.060311284,12.78082192,0.431939979,5.285104759,12.78082192,403,930,2.507150715,17,6.688172043
38,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,26,5,0.677419333,0.056261343,7.098591549,0.470238095,3.027531858,7.098591549,237,495,2.598377282,1,6.961616162
